text,label
bonsoir!!,French
pleased to meet you,English
cómo estás :),Spanish
es un placer :),Spanish
hi folks!!,English
salutations,French
long time no see!,English
salutations,French
hola mi amigo :),Spanish
cómo te va,Spanish
qué tal todo,Spanish
salut mon ami :),French
how's it going!,English
hey team :),English
ça roule!!,French
bonjour :),French
coucou,French
salut.,French
long time no see.,English
buenas tardes,Spanish
cómo te va.,Spanish
qué hay.,Spanish
encantado!,Spanish
ça gaze!!,French
how's it going :),English
hola mi amigo!!,Spanish
what's up,English
welcome,English
hey buddy.,English
long time no see!,English
mucho gusto!!,Spanish
bonjour à tous :),French
salut les amis,French
salut tout le monde!!,French
buenas,Spanish
qué onda.,Spanish
cómo ha ido tu día.,Spanish
bonjour à tous!!,French
qué tal amigos :),Spanish
salut les amis!!,French
good to see you!!,English
buenos días,Spanish
salut tout le monde :),French
cómo ha ido tu día,Spanish
bienvenido,Spanish
salut les amis.,French
bon début de soirée!,French
hello world!!,English
nice to meet you!!,English
comment ça va.,French
cómo ha ido tu día!!,Spanish
greetings!!,English
comment va ta journée!,French
encantado!,Spanish
hey buddy.,English
hope you're well :),English
how's it going.,English
qué pasa!!,Spanish
hello world,English
long time no see.,English
buenas noches!,Spanish
salut les amis :),French
bienvenido de nuevo.,Spanish
how's it going.,English
hello again!,English
how have you been!!,English
good morning!,English
comment va ta journée!!,French
bon retour :),French
hola amigo.,Spanish
mucho gusto!!,Spanish
ravie de vous rencontrer :),French
encantado!!,Spanish
what's up.,English
mucho gusto :),Spanish
pleased to meet you,English
comment allez-vous!,French
bon retour :),French
qué pasa!!,Spanish
allô!!,French
je suis ravi de vous voir :),French
welcome :),English
buenas tardes!!,Spanish
encantado!!,Spanish
hello :),English
salut les amis!,French
heureux de vous revoir!!,French
qué pasa :),Spanish
coucou!!,French
ça roule.,French
qué onda!,Spanish
coucou!,French
allô,French
ça roule,French
cómo te va :),Spanish
saludos!!,Spanish
hey,English
bienvenido,Spanish
es un placer :),Spanish
hola chicos.,Spanish
comment ça va!!,French
qué tal todo!,Spanish
sup.,English
how have you been :),English
hi folks.,English
bonjour à tous :),French
bon début de soirée!,French
hope you're well :),English
hello again!!,English
bienvenido,Spanish
bon retour :),French
buenos días,Spanish
salut mon ami.,French
dear friend!,English
hola chicos!!,Spanish
good to see you!,English
qué tal todo!,Spanish
es un placer!,Spanish
hola.,Spanish
hello again!!,English
how’s your day!!,English
qué tal!!,Spanish
qué hay!!,Spanish
bon après-midi :),French
es un placer :),Spanish
hi everyone!,English
hi folks,English
hi everyone!,English
salut mon ami :),French
bonjour :),French
what's up!!,English
je suis ravi de vous voir,French
buenas noches a todos,Spanish
ça gaze!!,French
bonjour,French
what's up!,English
salut :),French
bienvenue :),French
how have you been.,English
buenas noches a todos,Spanish
qué hay!!,Spanish
greetings,English
encantado,Spanish
rebonjour!,French
qué tal amigos,Spanish
qué pasa :),Spanish
cómo ha ido tu día :),Spanish
buenas!!,Spanish
good morning :),English
buenos días!!,Spanish
comment allez-vous!,French
hola chicos,Spanish
salutations,French
hello again!!,English
je suis ravi de vous voir!!,French
cómo te va,Spanish
ravie de vous rencontrer :),French
hope you're well!!,English
comment ça va.,French
hola chicos!,Spanish
salut les amis.,French
heureux de vous revoir!,French
salutations :),French
ça roule :),French
how's it going.,English
bienvenue!,French
hi everyone :),English
es un placer,Spanish
hello my friend!,English
cómo te va,Spanish
salut tout le monde,French
ça fait longtemps!!,French
qué alegría verte!,Spanish
je suis ravi de vous voir!!,French
cómo te va :),Spanish
it's great to see you,English
hola chicos :),Spanish
allô!!,French
encantado :),Spanish
comment allez-vous,French
qué tal amigos!!,Spanish
hello again,English
cómo ha ido tu día!!,Spanish
hope you're well,English
qué tal todo :),Spanish
bon début de soirée.,French
hello again.,English
comment allez-vous,French
cómo estás!,Spanish
greetings.,English
ça gaze!!,French
hi folks :),English
ravie de vous rencontrer!,French
bon retour.,French
hola mi amigo,Spanish
bienvenido,Spanish
enchanté!,French
hey buddy,English
hola mi amigo!,Spanish
good morning!,English
hello again.,English
it's great to see you!!,English
hola mi amigo,Spanish
ravie de vous rencontrer :),French
qué hay,Spanish
salut tout le monde.,French
ça fait longtemps!,French
hello my friend!!,English
comment allez-vous,French
buenas :),Spanish
hola a todos.,Spanish
buenos días :),Spanish
bienvenido de nuevo.,Spanish
hello again!,English
how's it going!,English
comment allez-vous :),French
salut les amis,French
comment ça va!,French
coucou!,French
coucou!!,French
hello,English
enchanté!!,French
hi there!!,English
hello world.,English
cómo estás!!,Spanish
hi there.,English
sup!,English
comment allez-vous!!,French
ça gaze.,French
buenos días :),Spanish
bon matin,French
bienvenue!!,French
ça fait longtemps.,French
cómo estás!,Spanish
salutations :),French
salut mon ami,French
salutations.,French
encantado :),Spanish
qué alegría verte!!,Spanish
how's it going.,English
allô :),French
buenos días!!,Spanish
what's up :),English
bon matin,French
ça fait longtemps!,French
qué hay,Spanish
bienvenido,Spanish
long time no see,English
bon matin!,French
bon après-midi,French
bonjour.,French
cómo ha ido tu día!!,Spanish
qué hay,Spanish
hello.,English
qué tal amigos!,Spanish
qué hay.,Spanish
bienvenido de nuevo,Spanish
coucou,French
how’s your day!!,English
good evening :),English
salut tout le monde,French
hola chicos.,Spanish
hello :),English
sup!,English
cómo ha ido tu día :),Spanish
es un placer :),Spanish
qué tal,Spanish
qué tal todo!!,Spanish
hi everyone.,English
salut!!,French
rebonjour!!,French
je suis ravi de vous voir,French
comment allez-vous.,French
good evening!!,English
hello my friend!,English
qué tal amigos :),Spanish
qué pasa.,Spanish
coucou!!,French
sup!,English
bonsoir!,French
hola amigo.,Spanish
buenos días :),Spanish
dear friend!,English
hola :),Spanish
coucou :),French
buenos días,Spanish
qué pasa,Spanish
hello my friend :),English
qué pasa!!,Spanish
sup!!,English
bon début de soirée!!,French
hi there!,English
greetings,English
bienvenido de nuevo!,Spanish
bienvenido!,Spanish
cómo estás,Spanish
ravie de vous rencontrer!!,French
hola mi amigo,Spanish
bienvenido de nuevo.,Spanish
cómo estás!!,Spanish
hola!,Spanish
qué tal,Spanish
hola :),Spanish
welcome.,English
hello again!,English
bonsoir :),French
cómo ha ido tu día :),Spanish
coucou.,French
cómo te va!,Spanish
salut les amis :),French
hola a todos,Spanish
qué tal,Spanish
hello again!!,English
salut mon ami.,French
bienvenido de nuevo.,Spanish
hello my friend :),English
hey team,English
bonjour à tous!!,French
hola mi amigo!!,Spanish
qué tal todo :),Spanish
heureux de vous revoir.,French
hello again!!,English
cómo estás!!,Spanish
qué onda.,Spanish
qué tal todo,Spanish
hey buddy,English
buenas :),Spanish
hey!!,English
hey team.,English
salutations,French
nice to meet you!!,English
dear friend!!,English
buenas tardes!!,Spanish
hi folks,English
buenas :),Spanish
heureux de vous revoir!!,French
how’s your day!,English
buenos días.,Spanish
enchanté,French
bonsoir.,French
qué tal amigos!!,Spanish
comment va ta journée!,French
coucou!,French
salut mon ami!!,French
bienvenido!,Spanish
encantado.,Spanish
enchanté :),French
cómo te va,Spanish
cómo ha ido tu día!!,Spanish
howdy!!,English
cómo ha ido tu día.,Spanish
bon après-midi :),French
nice to meet you!,English
saludos.,Spanish
hope you're well,English
what's up,English
ça roule :),French
greetings.,English
hello world :),English
sup,English
hola chicos.,Spanish
bonsoir.,French
bon matin,French
how have you been.,English
good evening.,English
cómo ha ido tu día!!,Spanish
salut tout le monde.,French
nice to meet you!!,English
nice to meet you!!,English
heureux de vous revoir!,French
pleased to meet you.,English
comment ça va,French
je suis ravi de vous voir!,French
ça fait longtemps!,French
long time no see,English
pleased to meet you!!,English
buenos días :),Spanish
hello world,English
welcome,English
saludos,Spanish
qué tal :),Spanish
how have you been :),English
it's great to see you,English
long time no see,English
buenas.,Spanish
hey team!,English
encantado!,Spanish
salut.,French
hola amigo!!,Spanish
how are you!!,English
je suis ravi de vous voir!!,French
buenos días :),Spanish
buenas tardes!,Spanish
bienvenido!!,Spanish
good to see you :),English
ça gaze!!,French
bon début de soirée!!,French
je suis ravi de vous voir :),French
salut!,French
pleased to meet you!!,English
hey buddy.,English
buenas noches.,Spanish
comment va ta journée :),French
bon retour.,French
nice to meet you!,English
comment ça va :),French
how's it going!,English
rebonjour,French
hi.,English
buenas noches!!,Spanish
je suis ravi de vous voir,French
bon début de soirée,French
heureux de vous revoir,French
coucou!,French
hey :),English
hola a todos!,Spanish
saludos :),Spanish
qué tal amigos!,Spanish
how’s your day.,English
je suis ravi de vous voir!!,French
how’s your day :),English
how have you been!,English
hi everyone :),English
buenas noches.,Spanish
bienvenido de nuevo :),Spanish
bon après-midi,French
cómo ha ido tu día.,Spanish
welcome.,English
how's it going :),English
ça roule!!,French
ça fait longtemps.,French
good morning!,English
hey,English
hola a todos!,Spanish
ça fait longtemps,French
long time no see!,English
qué tal todo :),Spanish
ça roule.,French
bienvenido de nuevo,Spanish
qué alegría verte!!,Spanish
bonjour,French
es un placer :),Spanish
qué pasa :),Spanish
hi everyone!,English
es un placer.,Spanish
coucou!!,French
es un placer :),Spanish
je suis ravi de vous voir :),French
pleased to meet you!,English
coucou!!,French
long time no see.,English
buenos días :),Spanish
rebonjour!,French
hello world!,English
qué tal todo!!,Spanish
ravie de vous rencontrer,French
hey team.,English
ça fait longtemps!!,French
dear friend :),English
cómo estás.,Spanish
hi everyone!!,English
cómo te va!,Spanish
hello world!,English
hola amigo.,Spanish
what's up.,English
bonjour :),French
enchanté :),French
buenas,Spanish
ça gaze!!,French
bienvenue!,French
how's it going!,English
qué pasa :),Spanish
hola :),Spanish
je suis ravi de vous voir :),French
je suis ravi de vous voir,French
hola amigo!,Spanish
nice to meet you!!,English
ça va bien.,French
ravie de vous rencontrer!!,French
hello world!,English
bon début de soirée :),French
bonsoir!!,French
hey buddy :),English
hola!,Spanish
qué tal :),Spanish
comment allez-vous,French
salutations :),French
rebonjour :),French
qué tal!,Spanish
comment allez-vous.,French
salut mon ami.,French
qué tal amigos!,Spanish
bon retour!!,French
hey :),English
mucho gusto!,Spanish
bonsoir,French
pleased to meet you!,English
qué pasa,Spanish
cómo te va.,Spanish
rebonjour!,French
bon matin :),French
allô.,French
saludos :),Spanish
bonsoir,French
comment ça va,French
ça gaze,French
salut.,French
comment allez-vous.,French
dear friend,English
good evening,English
qué tal todo :),Spanish
qué pasa!!,Spanish
ça fait longtemps!!,French
bonsoir,French
coucou!!,French
how’s your day :),English
hola amigo!,Spanish
ça gaze,French
hey!!,English
qué onda!,Spanish
buenos días!,Spanish
long time no see!!,English
buenas!!,Spanish
hey team.,English
comment va ta journée!!,French
encantado,Spanish
bonjour à tous,French
hope you're well!!,English
salutations!!,French
bon début de soirée :),French
cómo te va :),Spanish
mucho gusto!,Spanish
hello!!,English
bienvenido de nuevo,Spanish
rebonjour!!,French
hello my friend :),English
hey.,English
what's up :),English
heureux de vous revoir :),French
encantado,Spanish
qué tal,Spanish
cómo ha ido tu día!!,Spanish
salutations,French
coucou!!,French
yo!,English
how's it going,English
what's up :),English
good evening :),English
salutations :),French
bonjour!,French
salut!,French
allô!,French
hello,English
hello again :),English
hello my friend.,English
salut les amis :),French
comment ça va.,French
coucou!!,French
qué alegría verte,Spanish
cómo estás!!,Spanish
hola,Spanish
how's it going.,English
bon début de soirée!!,French
hi!,English
good to see you,English
je suis ravi de vous voir,French
qué pasa!,Spanish
qué tal.,Spanish
hey.,English
bon après-midi :),French
buenos días :),Spanish
hello my friend!!,English
allô :),French
ça fait longtemps!,French
hola :),Spanish
ravie de vous rencontrer.,French
welcome.,English
es un placer,Spanish
ravie de vous rencontrer!,French
coucou :),French
encantado.,Spanish
hope you're well,English
bon début de soirée!,French
hola a todos!,Spanish
qué onda :),Spanish
qué pasa!,Spanish
buenos días!,Spanish
salut les amis!!,French
what's up!!,English
it's great to see you.,English
salut tout le monde!,French
hi everyone,English
hi folks,English
allô!,French
qué alegría verte,Spanish
pleased to meet you!!,English
hola amigo :),Spanish
enchanté!!,French
salut,French
hola mi amigo :),Spanish
bonjour à tous!,French
encantado,Spanish
good to see you!,English
buenos días!,Spanish
hope you're well!!,English
bon matin!,French
how are you!!,English
salut tout le monde :),French
hey buddy :),English
cómo estás :),Spanish
hey buddy,English
buenos días!!,Spanish
coucou,French
buenas noches a todos,Spanish
hey!,English
cómo estás,Spanish
qué pasa.,Spanish
buenas noches :),Spanish
bonsoir!,French
es un placer!!,Spanish
good morning :),English
enchanté!!,French
comment allez-vous.,French
hola mi amigo,Spanish
how's it going!!,English
nice to meet you,English
hi everyone,English
buenas tardes :),Spanish
good evening :),English
qué pasa!,Spanish
je suis ravi de vous voir!!,French
qué tal todo :),Spanish
salut mon ami,French
buenas!,Spanish
howdy!!,English
greetings!,English
welcome :),English
cómo te va.,Spanish
hi there!,English
ravie de vous rencontrer,French
hola amigo!!,Spanish
bon matin!!,French
comment ça va :),French
coucou,French
hey buddy,English
how have you been :),English
cómo estás :),Spanish
buenas :),Spanish
hi,English
bon début de soirée :),French
nice to meet you :),English
hey buddy,English
encantado,Spanish
heureux de vous revoir,French
ça roule!!,French
hola amigo,Spanish
how’s your day,English
allô!,French
bienvenue.,French
bienvenue!,French
salut.,French
qué alegría verte.,Spanish
cómo te va!,Spanish
yo!,English
good evening.,English
hi everyone.,English
hola mi amigo!!,Spanish
dear friend.,English
good to see you :),English
hope you're well.,English
ça gaze,French
buenas noches a todos,Spanish
hola chicos.,Spanish
hey.,English
bon matin.,French
qué tal todo :),Spanish
salut mon ami!,French
qué alegría verte!!,Spanish
welcome :),English
hello world!,English
comment va ta journée!!,French
buenas noches.,Spanish
qué onda!,Spanish
buenos días,Spanish
how’s your day!,English
comment allez-vous!,French
bienvenido!,Spanish
salut!!,French
hola a todos!!,Spanish
cómo estás!!,Spanish
es un placer :),Spanish
qué tal todo!!,Spanish
dear friend!,English
salut mon ami.,French
salut tout le monde :),French
buenas tardes,Spanish
yo,English
good evening.,English
yo,English
hi!!,English
good morning.,English
hola chicos!!,Spanish
sup :),English
ravie de vous rencontrer!!,French
hi there,English
hey!,English
hola chicos!,Spanish
hey.,English
good evening.,English
hola chicos!!,Spanish
hello!,English
qué tal!!,Spanish
saludos,Spanish
how are you!,English
hola amigo :),Spanish
buenas.,Spanish
what's up!!,English
how’s your day.,English
heureux de vous revoir.,French
good evening.,English
comment va ta journée.,French
encantado.,Spanish
hola chicos!!,Spanish
qué hay!,Spanish
ça va bien :),French
salut les amis!,French
mucho gusto :),Spanish
bienvenido.,Spanish
bienvenido de nuevo :),Spanish
hola mi amigo,Spanish
bon début de soirée!!,French
hola a todos,Spanish
rebonjour,French
welcome,English
comment va ta journée.,French
howdy!,English
dear friend,English
salutations.,French
ça roule :),French
buenas tardes,Spanish
buenas.,Spanish
buenas noches :),Spanish
es un placer,Spanish
bon après-midi!!,French
hi.,English
sup!!,English
how's it going!!,English
buenos días!,Spanish
hey buddy :),English
bonsoir :),French
comment ça va.,French
heureux de vous revoir!,French
hello!!,English
